ID,State,Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Result
8073,Uttar Pradesh,Moradabad,RUCHI VIRA,Samajwadi Party,636733,630,637363,49.67,Won
8086,Uttar Pradesh,Muzaffarnagar,HARENDRA SINGH MALIK,Samajwadi Party,469804,917,470721,43.64,Won
8098,Uttar Pradesh,Nagina,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),511812,740,512552,51.19,Won
8105,Uttar Pradesh,Phulpur,PRAVEEN PATEL,Bharatiya Janata Party,451380,1220,452600,44.6,Won
8121,Uttar Pradesh,Pilibhit,JITIN PRASADA,Bharatiya Janata Party,605199,1959,607158,52.3,Won
8132,Uttar Pradesh,Pratapgarh,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,439836,2096,441932,46.65,Won
8159,Uttar Pradesh,Rae Bareli,RAHUL GANDHI,Indian National Congress,686044,1605,687649,66.17,Won
8168,Uttar Pradesh,Rampur,MOHIBBULLAH,Samajwadi Party,481252,251,481503,49.74,Won
8175,Uttar Pradesh,Robertsganj,CHHOTELAL,Samajwadi Party,465240,608,465848,46.14,Won
8188,Uttar Pradesh,Saharanpur,IMRAN MASOOD,Indian National Congress,547383,584,547967,44.57,Won
8199,Uttar Pradesh,Salempur,RAMASHANKAR RAJBHAR,Samajwadi Party,403616,1856,405472,44.2,Won
8209,Uttar Pradesh,Sambhal,ZIA UR REHMAN,Samajwadi Party,570745,416,571161,47.8,Won
8222,Uttar Pradesh,Sant Kabir Nagar,LAXMIKANT PAPPU NISHAD,Samajwadi Party,497488,1207,498695,45.7,Won
8234,Uttar Pradesh,Shahjahanpur,ARUN KUMAR SAGAR,Bharatiya Janata Party,591500,1218,592718,47.5,Won
8245,Uttar Pradesh,Shrawasti,RAM SHIROMANI VERMA,Samajwadi Party,510754,301,511055,48.83,Won
8258,Uttar Pradesh,Sitapur,RAKESH RATHOR,Indian National Congress,530467,671,531138,48.2,Won
8267,Uttar Pradesh,Sultanpur,RAMBHUAL NISHAD,Samajwadi Party,442886,1444,444330,43,Won
8277,Uttar Pradesh,Unnao,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,614832,1301,616133,47.31,Won
8286,Uttar Pradesh,Varanasi,NARENDRA MODI,Bharatiya Janata Party,611439,1531,612970,54.24,Won
8294,Uttarakhand,Almora,AJAY TAMTA,Bharatiya Janata Party,417535,11632,429167,64.2,Won
8302,Uttarakhand,Garhwal,ANIL BALUNI,Bharatiya Janata Party,418531,13628,432159,58.6,Won
8316,Uttarakhand,Haridwar,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,648498,5310,653808,50.19,Won
8331,Uttarakhand,Nainital-Udhamsingh Nagar,AJAY BHATT,Bharatiya Janata Party,766397,6274,772671,61.03,Won
8342,Uttarakhand,Tehri Garhwal,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,455949,6654,462603,53.66,Won
8354,West Bengal,Alipurduars,MANOJ TIGGA,Bharatiya Janata Party,691533,3781,695314,48.92,Won
8366,West Bengal,Arambagh,BAG MITALI,All India Trinamool Congress,710432,2155,712587,45.71,Won
8377,West Bengal,Asansol,SHATRUGHAN PRASAD SINHA,All India Trinamool Congress,603105,2540,605645,46.53,Won
8385,West Bengal,Baharampur,PATHAN YUSUF,All India Trinamool Congress,523630,886,524516,37.88,Won
8401,West Bengal,Balurghat,SUKANTA MAJUMDAR,Bharatiya Janata Party,572925,2071,574996,46.47,Won
8415,West Bengal,Bangaon,SHANTANU THAKUR,Bharatiya Janata Party,716952,2553,719505,48.19,Won
8431,West Bengal,Bankura,ARUP CHAKRABORTY,All India Trinamool Congress,637465,4348,641813,44.33,Won
8445,West Bengal,Barasat,KAKOLI GHOSH DASTIDAR,All India Trinamool Congress,689513,2497,692010,45.15,Won
8458,West Bengal,Bardhaman Purba,DR. SHARMILA SARKAR,All India Trinamool Congress,717881,2421,720302,48.11,Won
8466,West Bengal,Bardhaman-Durgapur,AZAD KIRTI JHA,All India Trinamool Congress,717069,3598,720667,47.99,Won
8475,West Bengal,Barrackpur,PARTHA BHOWMICK,All India Trinamool Congress,518486,1745,520231,45.56,Won
8490,West Bengal,Basirhat,SK NURUL ISLAM,All India Trinamool Congress,801542,2220,803762,52.76,Won
8506,West Bengal,Birbhum,SATABDI ROY,All India Trinamool Congress,714972,2989,717961,47,Won
8519,West Bengal,Bishnupur,KHAN SAUMITRA,Bharatiya Janata Party,677320,2810,680130,44.93,Won
8527,West Bengal,Bolpur,ASIT KUMAR MAL,All India Trinamool Congress,851209,4424,855633,55.98,Won
8536,West Bengal,Coochbehar,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,785747,2628,788375,48.57,Won
8551,West Bengal,Darjeeling,RAJU BISTA,Bharatiya Janata Party,675324,4007,679331,51.18,Won
8566,West Bengal,Diamond harbour,ABHISHEK BANERJEE,All India Trinamool Congress,1043493,4737,1048230,68.48,Won
8579,West Bengal,Dum dum,SOUGATA RAY,All India Trinamool Congress,526289,2290,528579,41.95,Won
8594,West Bengal,Ghatal,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,834558,3432,837990,52.36,Won
8602,West Bengal,Hooghly,RACHNA BANERJEE,All India Trinamool Congress,700120,2624,702744,46.31,Won
8615,West Bengal,Howrah,PRASUN BANERJEE,All India Trinamool Congress,625229,1264,626493,49.26,Won
8630,West Bengal,Jadavpur,SAYANI GHOSH,All India Trinamool Congress,714049,3850,717899,45.83,Won
8647,West Bengal,Jalpaiguri,DR JAYANTA KUMAR ROY,Bharatiya Janata Party,763236,3332,766568,48.57,Won
8660,West Bengal,Jangipur,KHALILUR RAHAMAN,All India Trinamool Congress,543449,978,544427,39.75,Won
8675,West Bengal,Jhargram,KALIPADA SAREN (KHERWAL),All India Trinamool Congress,740132,3346,743478,49.87,Won
8689,West Bengal,Joynagar,PRATIMA MONDAL,All India Trinamool Congress,891053,3259,894312,60.32,Won
8701,West Bengal,Kanthi,ADHIKARI SOUMENDU,Bharatiya Janata Party,757906,5289,763195,49.85,Won
8711,West Bengal,Kolkata Dakshin,MALA ROY,All India Trinamool Congress,612725,2549,615274,49.48,Won
8729,West Bengal,Kolkata Uttar,BANDYOPADHYAY SUDIP,All India Trinamool Congress,453177,1519,454696,47.44,Won
8745,West Bengal,Krishnanagar,MAHUA MOITRA,All India Trinamool Congress,624711,4078,628789,44.1,Won
8757,West Bengal,Maldaha Dakshin,ISHA KHAN CHOUDHURY,Indian National Congress,570966,1429,572395,41.79,Won
8775,West Bengal,Maldaha Uttar,KHAGEN MURMU,Bharatiya Janata Party,525109,1914,527023,37.18,Won
8791,West Bengal,Mathurapur,BAPI HALDAR,All India Trinamool Congress,752486,3245,755731,50.52,Won
8804,West Bengal,Medinipur,JUNE MALIAH,All India Trinamool Congress,699562,2630,702192,47.4,Won
8814,West Bengal,Murshidabad,ABU TAHER KHAN,All India Trinamool Congress,681674,768,682442,44.27,Won
8826,West Bengal,Purulia,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,576246,2243,578489,40.34,Won
8839,West Bengal,Raiganj,KARTICK CHANDRA PAUL,Bharatiya Janata Party,558644,2253,560897,40.99,Won
8860,West Bengal,Ranaghat,JAGANNATH SARKAR,Bharatiya Janata Party,778046,4350,782396,50.78,Won
8868,West Bengal,Srerampur,KALYAN BANERJEE,All India Trinamool Congress,671865,2105,673970,45.65,Won
8880,West Bengal,Tamluk,ABHIJIT GANGOPADHYAY,Bharatiya Janata Party,761183,4401,765584,48.54,Won
8890,West Bengal,Uluberia,SAJDA AHMED,All India Trinamool Congress,722586,2036,724622,52.1,Won
