_id,SL No,Year,Month,State Name,Constituency Name,Candidate Name,Sex,Party,Constituency Type,Total Electors,Valid Votes,Candidate Votes,Turnout %,Candidate Vote Share %,Winning Margin %
376,376,2019,4,Tamil Nadu,NILGIRIS,"RAJA, A.",M,DMK,SC,1365608,1010719,547832,74.01,54.2,20.36
377,377,2019,4,Tamil Nadu,COIMBATORE,NATARAJAN. P.R,M,CPM,GEN,1958577,1250885,571150,63.87,45.66,14.32
378,378,2019,4,Tamil Nadu,POLLACHI,SHANMUGA SUNDARAM. K,M,DMK,GEN,1520276,1081875,554230,71.16,51.23,16.26
379,379,2019,4,Tamil Nadu,DINDIGUL,"VELUSAMY, P.",M,DMK,GEN,1540495,1160046,746523,75.3,64.35,46.46
380,380,2019,4,Tamil Nadu,KARUR,JOTHIMANI S,F,INC,GEN,1386636,1103165,695697,79.56,63.06,38.12
381,381,2019,4,Tamil Nadu,TIRUCHIRAPPALLI,THIRUNAVUKKARASAR. SU,M,INC,GEN,1508329,1048062,621285,69.48,59.28,43.82
382,382,2019,4,Tamil Nadu,PERAMBALUR,"DR.PAARIVENDHAR, T. R",M,DMK,GEN,1391011,1102767,683697,79.28,62,36.59
383,383,2019,4,Tamil Nadu,CUDDALORE,T. R. V .S. RAMESH,M,DMK,GEN,1363650,1043202,522160,76.5,50.05,13.8
384,384,2019,4,Tamil Nadu,CHIDAMBARAM,THIRUMAAVALAVAN THOL,M,VCK,SC,1479108,1153192,500229,77.97,43.38,0.28
385,385,2019,4,Tamil Nadu,MAYILADUTHURAI,RAMALINGAM. S,M,DMK,GEN,1484348,1097243,599292,73.92,54.62,23.82
386,386,2019,4,Tamil Nadu,NAGAPATTINAM,SELVARAJ M,M,CPI,SC,1303060,1002208,522892,76.91,52.17,21.09
387,387,2019,4,Tamil Nadu,THANJAVUR,"PALANIMANICKAM,S.S.",M,DMK,GEN,1460266,1059223,588978,72.54,55.6,34.75
388,388,2019,4,Tamil Nadu,SIVAGANGA,KARTI P CHIDAMBARAM,M,INC,GEN,1550390,1084468,566104,69.95,52.2,30.64
389,389,2019,4,Tamil Nadu,MADURAI,VENKATESAN S,M,CPM,GEN,1538133,1016026,447075,66.06,44,13.72
390,390,2019,4,Tamil Nadu,THENI,"RAVEENDRANATH KUMAR, P",M,ADMK,GEN,1554051,1173489,504813,75.51,43.02,6.54
391,391,2019,4,Tamil Nadu,VIRUDHUNAGAR,"MANICKAM TAGORE, B.",M,INC,GEN,1480600,1074735,470883,72.59,43.81,14.38
392,392,2019,4,Tamil Nadu,RAMANATHAPURAM,K. NAVASKANI,M,IUML,GEN,1557910,1066146,469943,68.43,44.08,11.92
393,393,2019,4,Tamil Nadu,THOOTHUKKUDI,KANIMOZHI KARUNANIDHI,F,DMK,GEN,1425401,991263,563143,69.54,56.81,35.03
394,394,2019,4,Tamil Nadu,TENKASI,DHANUSH.M.KUMAR,M,DMK,SC,1488944,1065569,476156,71.57,44.69,11.29
395,395,2019,4,Tamil Nadu,TIRUNELVELI,GNANATHIRAVIAM S,M,DMK,GEN,1546212,1039761,522623,67.25,50.26,17.84
396,396,2019,4,Tamil Nadu,KANNIYAKUMARI,VASANTHAKUMAR. H,M,INC,GEN,1493509,1048377,627235,70.2,59.83,24.79
